,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,15Y,20Y,30Y
2022-01-01,-1.2342710511207253,-1.1476554531548173,-0.987817170923667,-0.8113915624503416,-0.748344266180737,-0.40410075189319306,-0.22249878430555636,-0.022300504677873954,0.17654579180045302,0.25972396340100723,0.17550008049568658
2022-01-02,-1.1594384605516164,-1.091647614060404,-0.9794929613461223,-0.7808858943648588,-0.6409251392112231,-0.3994360262633694,-0.22937946648968338,-0.012542634715071973,0.17356585115784956,0.26723702384800335,0.17497214272035178
2022-01-03,-1.1989300488726446,-1.1660843997450963,-0.940051710327905,-0.8046685833483147,-0.664781151137814,-0.41210341432855513,-0.2536230250374312,-0.03289174104244454,0.20993320262250012,0.2318032874831002,0.20565018411791883
2022-01-04,-1.190837016120952,-1.103328094479476,-0.9943160760331288,-0.7748327600900502,-0.6550170221181363,-0.4327700242599632,-0.23571515827510447,-0.02241789873971338,0.1688105851262594,0.2616860508059852,0.14633491287946682
2022-01-05,-1.2116730139210874,-1.153878203827862,-1.0233525823995078,-0.836535132617314,-0.6825658849077764,-0.3998302084686896,-0.2111790698951796,-0.025540409274404974,0.15444993673315888,0.2864889247036334,0.16430321769649034
2022-01-06,-1.2297333470346778,-1.074416695138364,-0.9753631892166201,-0.8376992141786359,-0.7146294700896362,-0.438295564028471,-0.2205134570445365,-0.03634861447727508,0.1566983160769182,0.2295269133560076,0.12474601096782653
2022-01-07,-1.2109766792389722,-1.1594909252747432,-0.9492327482028912,-0.8056576249747911,-0.6575243581941789,-0.37709070525837984,-0.22292449416189838,0.008853387475522435,0.1955015746884607,0.26537179011867806,0.21349865880319296
2022-01-08,-1.1897115735131865,-1.0913854119072073,-1.0032553959596915,-0.8174147984305202,-0.6722564363394388,-0.42230845064151745,-0.17175707217454128,-0.05549814388947092,0.14472986159374912,0.23407162843146695,0.18607193750405818
2022-01-09,-1.1776731287966273,-1.1215497081157506,-0.973481810650309,-0.8074265768512167,-0.6687059627296614,-0.45799949147061836,-0.20123291098083101,0.03951320517985474,0.17546149663075766,0.2810260929805406,0.16890532803501065
2022-01-10,-1.189782858658361,-1.1279927114193975,-0.9631094457927057,-0.7993158117346073,-0.6416374725434549,-0.4486947338738425,-0.19751661555289518,0.0031064080567331093,0.21435985896295678,0.2814699924203155,0.1481155658617918
2022-01-11,-1.1844801738266924,-1.1135133578210468,-0.967721635633487,-0.7751479359368346,-0.6490966773861759,-0.4170571833107512,-0.22229748442761404,-0.0625976626002997,0.18916668691077987,0.24799366726103164,0.1510898243128278
2022-01-12,-1.200896590973305,-1.101673423127325,-0.9893319685444307,-0.8026624460704186,-0.6194399961790299,-0.4139752998231189,-0.21196730184748835,-0.023075089843543492,0.18066393366576092,0.3127697846985013,0.19288574088851454
2022-01-13,-1.1793896058491198,-1.139405832563527,-1.009257663960584,-0.8123923527708324,-0.6629494642834178,-0.36755440288147784,-0.22757331974339756,-0.0210094679028442,0.18230641990378404,0.28586981272317685,0.155518553854727
2022-01-14,-1.154052317820186,-1.1365178326090477,-0.9931551281801729,-0.7999109738988058,-0.6834034504246113,-0.44208562292018905,-0.19668439534173018,-0.0063259737562805975,0.1581377457144873,0.2765500851485708,0.18647699609888085
2022-01-15,-1.1728333532987876,-1.09921296773194,-0.9789880780128212,-0.8096817213549274,-0.6701635105324801,-0.41446653437716374,-0.2182130869622381,-0.04018754612825502,0.1631185428793745,0.2758121830428914,0.23562053216861376
2022-01-16,-1.169547320989029,-1.1574694420365925,-0.9670803050930593,-0.8131360057469205,-0.6543942838818874,-0.44127140337240395,-0.2092264244720886,-0.013985234611147108,0.18033458998178306,0.28481230453480305,0.17652444123102695
2022-01-17,-1.18177126371597,-1.1287274010284378,-0.9807730474986598,-0.82944709403806,-0.6387252607238114,-0.42643804502897087,-0.21010639114475657,-0.017149658651701975,0.1926601520540966,0.2359872661202602,0.16184221520200476
2022-01-18,-1.2260395794247658,-1.0374435288307895,-0.99795840184829,-0.7867237497792486,-0.7001365514707436,-0.3713614019330422,-0.21391487471991202,-0.03190116174911163,0.21024304761027712,0.26640448727675,0.19608947745154343
