,1M,3M,6M,1Y,2Y,3Y,5Y,7Y,10Y,20Y,30Y
2022-01-01,0.364901424590337,0.3698590557094827,0.5557292886986056,0.6311679828174649,0.9992758313713909,1.3237951176423404,1.551745182888064,1.7350298116366052,1.7815737216066831,2.138467902160397,2.0033008148612232
2022-01-02,0.38178559264808415,0.3420261322357804,0.48711556372248305,0.6714468798196527,1.0339958173451382,1.3056836996973045,1.5640065329947468,1.737620391935359,1.821791953968157,2.149581362272461,2.0685438946583825
2022-01-03,0.432217122119471,0.45523190515938666,0.558388868888486,0.7451648420983392,1.0469761366131074,1.3150033067411848,1.620043456414591,1.7371875369035512,1.8010005034304866,2.1718125273737,2.0946778706189195
2022-01-04,0.4827351915394517,0.461419645437232,0.5551462211394753,0.6483328174034838,1.0439676337204282,1.332031952720926,1.57509756641449,1.754576645644936,1.8718682091683634,2.1762692718046255,2.135504493539102
2022-01-05,0.4527365314059851,0.5027713938056594,0.6086776645578454,0.7803499256790692,1.10948601606507,1.2766516761572206,1.6356836132391246,1.7840245813339926,1.8129591982969104,2.194131533040783,2.144490667749744
2022-01-06,0.47437458740864513,0.4067151824304662,0.6163814247579057,0.7703559911867971,1.1399784175083922,1.386978108000603,1.6663830373198334,1.6954076195748982,1.8675563400172588,2.182912747498333,2.1393541972453303
2022-01-07,0.5495906378627652,0.5762380291857497,0.6157147154157833,0.741493742540965,1.1545234345037574,1.384474453746126,1.6650959736510649,1.7949009127216422,1.901699654294753,2.20318800594568,2.1718596391674296
2022-01-08,0.5453936839701874,0.5287512765905018,0.6681434573208463,0.762384563662351,1.179810016372442,1.408630843652764,1.6406137005164836,1.8017794307517812,1.8278716574921208,2.173492311867688,2.130108220929868
2022-01-09,0.5278953395956506,0.5850119043188231,0.7256837117532985,0.8614187565619393,1.1806440206891378,1.3893567972091792,1.7480996990038076,1.855831553883363,1.8691216996141076,2.2093982338355906,2.1870893509894964
2022-01-10,0.5773988764702713,0.5389496209268647,0.6834444085667503,0.7988557630761641,1.1702639281058773,1.41373671026101,1.716426008404675,1.827203510466761,1.92368497988452,2.2691932116991294,2.190735191976965
